#name, A, B
NODE_0000000, 0.4660327783680484, 0.5339672216319516
NODE_0000001, 0.03720682528136542, 0.9627931747186346
NODE_0000002, 0.03719094708405289, 0.9628090529159471
seq_233, 0.0, 1.0
NODE_0000003, 0.030953896865848797, 0.9690461031341512
seq_235, 0.0, 1.0
NODE_0000004, 8.27964840848508e-06, 0.9999917203515916
seq_253, 0.0, 0.9999999999999999
NODE_0000005, 0.9998840446505466, 0.00011595534945329979
seq_066, 1.0, 0.0
seq_250, 0.0, 1.0
NODE_0000006, 0.00882261426035462, 0.9911773857396453
seq_203, 0.0, 1.0
NODE_0000007, 0.0019084095912513057, 0.9980915904087487
seq_252, 0.0, 1.0
NODE_0000008, 0.023715656411907343, 0.9762843435880927
seq_251, 0.0, 0.9999999999999999
NODE_0000009, 0.01456266590256972, 0.9854373340974304
seq_205, 0.0, 1.0
NODE_0000010, 0.046312713444244605, 0.9536872865557555
NODE_0000011, 0.03605101645167222, 0.9639489835483278
seq_199, 0.0, 0.9999999999999999
seq_283, 0.0, 1.0
NODE_0000012, 0.08005522284947847, 0.9199447771505216
NODE_0000013, 0.032037636713618686, 0.9679623632863813
seq_200, 0.0, 1.0
seq_313, 0.0, 0.9999999999999999
NODE_0000014, 0.10657896831207987, 0.8934210316879202
NODE_0000015, 0.9961207039063457, 0.0038792960936544114
seq_046, 0.9999999999999999, 0.0
seq_197, 0.0, 1.0
NODE_0000016, 0.05344491342016896, 0.946555086579831
seq_198, 0.0, 1.0
NODE_0000017, 0.0463662743584664, 0.9536337256415335
NODE_0000018, 0.03911148984404692, 0.9608885101559531
seq_195, 0.0, 1.0
NODE_0000019, 0.03138868119522118, 0.9686113188047788
NODE_0000020, 0.025740177675141616, 0.9742598223248583
seq_281, 0.0, 1.0
NODE_0000021, 0.023452000629689315, 0.9765479993703106
seq_232, 0.0, 1.0
seq_411, 0.0, 1.0
NODE_0000022, 0.02742345520353037, 0.9725765447964696
seq_282, 0.0, 0.9999999999999999
NODE_0000023, 0.022663341875821523, 0.9773366581241786
seq_259, 0.0, 0.9999999999999999
seq_449, 0.0, 1.0
NODE_0000024, 0.0356467313408696, 0.9643532686591304
NODE_0000025, 0.03232739297055965, 0.9676726070294402
seq_174, 0.0, 0.9999999999999999
NODE_0000026, 0.04774947895297917, 0.9522505210470208
seq_280, 0.0, 0.9999999999999999
seq_299, 0.0, 1.0
NODE_0000027, 0.052397838041206256, 0.9476021619587937
NODE_0000028, 0.01105481974203784, 0.9889451802579621
NODE_0000029, 0.011763225430268183, 0.9882367745697319
seq_173, 0.0, 1.0
NODE_0000030, 0.02061449115193768, 0.9793855088480623
seq_184, 0.0, 1.0
NODE_0000031, 0.016698521006547975, 0.9833014789934519
seq_182, 0.0, 1.0
NODE_0000032, 0.016810665654382197, 0.9831893343456178
seq_181, 0.0, 1.0
seq_333, 0.0, 0.9999999999999999
NODE_0000033, 0.0006052217274511323, 0.9993947782725489
seq_202, 0.0, 1.0
NODE_0000034, 0.0046555844144895425, 0.9953444155855105
NODE_0000035, 0.0052736067208175655, 0.9947263932791823
seq_302, 0.0, 1.0
NODE_0000036, 0.006272124980560506, 0.9937278750194395
seq_159, 0.0, 1.0
seq_279, 0.0, 1.0
seq_301, 0.0, 0.9999999999999999
NODE_0000037, 0.00585384855162103, 0.994146151448379
seq_297, 0.0, 1.0
seq_298, 0.0, 1.0
NODE_0000038, 0.009198938037209033, 0.990801061962791
seq_160, 0.0, 1.0
seq_300, 0.0, 1.0
NODE_0000039, 0.1365914783600261, 0.8634085216399738
seq_185, 0.0, 0.9999999999999999
NODE_0000040, 0.19116227532624622, 0.8088377246737538
seq_201, 0.0, 1.0
NODE_0000041, 0.9999993415117964, 6.584882035644707e-07
seq_049, 1.0, 0.0
seq_051, 1.0, 0.0
NODE_0000042, 0.9999189678338568, 8.103216614321886e-05
seq_050, 1.0, 0.0
seq_071, 0.9999999999999999, 0.0
NODE_0000043, 0.6830147891469054, 0.3169852108530946
seq_059, 1.0, 0.0
seq_204, 0.0, 1.0
NODE_0000044, 0.48406114164761066, 0.5159388583523894
seq_194, 0.0, 1.0
seq_213, 0.0, 0.9999999999999999
NODE_0000045, 0.3147960701489971, 0.6852039298510029
seq_278, 0.0, 1.0
NODE_0000046, 0.062201619244120404, 0.9377983807558795
seq_272, 0.0, 1.0
seq_275, 0.0, 1.0
NODE_0000047, 0.4161614176122556, 0.5838385823877442
NODE_0000048, 0.22466992480989587, 0.7753300751901041
seq_246, 0.0, 1.0
seq_277, 0.0, 0.9999999999999999
NODE_0000049, 0.21980262547977644, 0.7801973745202236
seq_273, 0.0, 1.0
NODE_0000050, 0.0017194729347498967, 0.9982805270652502
seq_274, 0.0, 1.0
seq_276, 0.0, 1.0
