Composition:
    Symbol     Freq     Count
       A      0.101     24238 / 239400
       C      0.012      2860 / 239400
       D      0.026      6143 / 239400
       E      0.067     16116 / 239400
       F      0.028      6646 / 239400
       G      0.065     15470 / 239400
       H      0.022      5290 / 239400
       I      0.041      9898 / 239400
       K      0.051     12224 / 239400
       L      0.103     24571 / 239400
       M      0.054     12946 / 239400
       N      0.041      9865 / 239400
       P      0.032      7603 / 239400
       Q      0.057     13676 / 239400
       R      0.068     16287 / 239400
       S      0.069     16632 / 239400
       T      0.079     18920 / 239400
       V      0.060     14280 / 239400
       W      0.004       951 / 239400
       Y      0.020      4760 / 239400
       X      0.000        24 / 239400

