name,trait
seq_001,human
seq_002,human
seq_003,human
seq_004,human
seq_005,human
seq_006,human
seq_007,human
seq_008,human
seq_009,human
seq_010,human
seq_011,human
seq_012,human
seq_013,human
seq_014,human
seq_015,human
seq_016,human
seq_017,human
seq_018,human
seq_019,human
seq_020,human
seq_021,human
seq_022,human
seq_023,human
seq_024,human
seq_025,human
seq_026,human
seq_027,human
seq_028,human
seq_029,human
seq_030,human
seq_031,human
seq_032,human
seq_033,human
seq_034,human
seq_035,human
seq_036,human
seq_037,human
seq_038,human
seq_039,human
seq_040,human
seq_041,human
seq_042,human
seq_043,human
seq_044,human
seq_045,human
seq_046,human
seq_047,human
seq_048,human
seq_049,human
seq_050,human
seq_051,human
seq_052,human
seq_053,human
seq_054,human
seq_055,human
seq_056,human
seq_057,human
seq_058,human
seq_059,human
seq_060,human
seq_061,human
seq_062,human
seq_063,human
seq_064,human
seq_065,human
seq_066,human
seq_067,human
seq_068,human
seq_069,human
seq_070,human
seq_071,human
seq_072,human
seq_073,human
seq_074,human
seq_075,human
seq_076,human
seq_077,human
seq_078,human
seq_079,human
seq_080,human
seq_081,human
seq_082,human
seq_083,human
seq_084,human
seq_085,human
seq_086,human
seq_087,human
seq_088,human
seq_089,human
seq_090,human
seq_091,human
seq_092,human
seq_093,human
seq_094,human
seq_095,human
seq_096,human
seq_097,swine
seq_098,swine
seq_099,swine
seq_100,swine
seq_101,swine
seq_102,swine
seq_103,swine
seq_104,swine
seq_105,swine
seq_106,swine
seq_107,swine
seq_108,swine
seq_109,swine
seq_110,swine
seq_111,swine
seq_112,swine
seq_113,swine
seq_114,swine
seq_115,swine
seq_116,swine
seq_117,swine
seq_118,swine
seq_119,swine
seq_120,swine
seq_121,swine
seq_122,swine
seq_123,swine
seq_124,swine
seq_125,swine
seq_126,swine
seq_127,swine
seq_128,swine
seq_129,swine
seq_130,swine
seq_131,swine
seq_132,swine
seq_133,swine
seq_134,swine
seq_135,swine
seq_136,swine
seq_137,swine
seq_138,swine
seq_139,swine
seq_140,swine
seq_141,swine
seq_142,swine
seq_143,swine
seq_144,swine
seq_145,swine
seq_146,swine
seq_147,swine
seq_148,swine
seq_149,swine
seq_150,swine
seq_151,swine
seq_152,swine
seq_153,swine
seq_154,swine
seq_155,swine
seq_156,swine
seq_157,swine
seq_158,swine
seq_159,swine
seq_160,swine
seq_161,swine
seq_162,swine
seq_163,swine
seq_164,swine
seq_165,swine
seq_166,swine
seq_167,swine
seq_168,swine
seq_169,swine
seq_170,swine
seq_171,swine
seq_172,swine
seq_173,swine
seq_174,swine
seq_175,swine
seq_176,swine
seq_177,swine
seq_178,swine
seq_179,swine
