Composition:
    Symbol     Freq     Count
       A      0.059     81929 / 1387760
       C      0.007      9025 / 1387760
       D      0.045     62415 / 1387760
       E      0.068     94963 / 1387760
       F      0.031     43637 / 1387760
       G      0.063     87830 / 1387760
       H      0.013     18300 / 1387760
       I      0.067     93561 / 1387760
       K      0.059     81776 / 1387760
       L      0.082    113552 / 1387760
       M      0.044     60979 / 1387760
       N      0.041     57384 / 1387760
       P      0.038     52232 / 1387760
       Q      0.047     64645 / 1387760
       R      0.080    111513 / 1387760
       S      0.070     97751 / 1387760
       T      0.069     95452 / 1387760
       V      0.080    111265 / 1387760
       W      0.013     18265 / 1387760
       Y      0.021     29251 / 1387760
       X      0.001      2035 / 1387760

